(0,12,6) -- Hero: (1000,10,10,0,0,0,0,0,0) -- 3 Linked 54,62,69,
Id=1: (0,0,0) -- Items: yellow+1; -- 3 Linked 2,10,16,
Id=2: (0,0,1) -- Items: blue+1; -- 2 Linked 1,10,
Id=3: (0,0,3) -- Items: mdef+5; -- 2 Linked 4,12,
Id=4: (0,0,4) -- Items: def+1; -- 3 Linked 3,12,17,
Id=5: (0,0,6) -- Monsters: [(299,178,26,0,0,6)] -- 1 Linked 13,
Id=6: (0,0,8) -- Items: hp+75; -- 1 Linked 7,
Id=7: (0,0,9) -- Items: def+1; -- 3 Linked 6,8,14,
Id=8: (0,0,11) -- Monsters: [(202,50,20,7,0,0)] -- 2 Linked 7,9,
Id=9: (0,0,12) -- Items: hp+75; -- 2 Linked 8,15,
Id=10: (0,1,1) -- Items: atk+1; -- 4 Linked 1,2,11,16,
Id=11: (0,1,2) -- Doors: [2] -- 2 Linked 10,12,
Id=12: (0,1,3) -- Items: hp+75; -- 4 Linked 3,4,11,17,
Id=13: (0,1,6) -- Items: atk+1; -- 2 Linked 5,18,
Id=14: (0,1,9) -- Monsters: [(206,120,33,2,0,0)] -- 3 Linked 7,19,22,
Id=15: (0,1,12) -- Items: mdef+5; -- 2 Linked 9,20,
Id=16: (0,2,0) -- Monsters: [(206,120,33,2,0,0)] -- 4 Linked 1,10,21,25,
Id=17: (0,2,4) -- Monsters: [(207,54,56,3,0,1)] -- 4 Linked 4,12,18,27,
Id=18: (0,2,6) -- Doors: [2] -- 3 Linked 13,17,19,
Id=19: (0,2,8) -- Monsters: [(205,63,34,1,0,4)] -- 4 Linked 14,18,22,29,
Id=20: (0,2,12) -- Doors: [2] -- 2 Linked 15,24,
Id=21: (0,3,1) -- Items: def+1; -- 3 Linked 16,25,26,
Id=22: (0,3,9) -- Monsters: [(202,50,20,7,0,0)] -- 4 Linked 14,19,23,29,
Id=23: (0,3,10) -- Items: hp+75; -- 3 Linked 22,30,36,
Id=24: (0,3,12) -- Items: def+1; -- 2 Linked 20,31,
Id=25: (0,4,0) -- Monsters: [(203,32,49,4,0,7)] -- 4 Linked 16,21,32,37,
Id=26: (0,4,2) -- Monsters: [(205,63,34,1,0,4)] -- 3 Linked 21,27,32,
Id=27: (0,4,4) -- Items: def+1; -- 4 Linked 17,26,28,33,
Id=28: (0,4,6) -- Monsters: [(201,42,20,0,0,5)] -- 2 Linked 27,34,
Id=29: (0,4,8) -- Doors: [1] -- 3 Linked 19,22,35,
Id=30: (0,4,11) -- Monsters: [(205,63,34,1,0,4)] -- 3 Linked 23,31,36,
Id=31: (0,4,12) -- Items: hp+75; -- 2 Linked 24,30,
Id=32: (0,5,1) -- Items: atk+1; -- 3 Linked 25,26,37,
Id=33: (0,5,4) -- Doors: [2] -- 2 Linked 27,38,
Id=34: (0,5,6) -- Items: hp+75; -- 2 Linked 28,39,
Id=35: (0,5,8) -- Items: def+1; -- 2 Linked 29,40,
